土地位置,用途,土地面积(平方米),建筑规模(平方米)/容积率,起始价(万元),竞得单位,竞得时间,成交价(万元),出让方式
两江新区悦来组团D分区D01-2/06号宗地,文化设施用地,77767,≤116650,23564,重庆两江华悦文化产业发展有限公司,2017年3月24日,27800,拍卖
沙坪坝区沙坪坝组团B分区B11-2-2/03号宗地,二类居住用地,7738,≤30952,12691,重庆市垫江县碧桂园房地产开发有限公司,2017年4月18日,13900,拍卖
两江新区大竹林组团O标准分区O20-3/06号宗地,医疗卫生用地,27595,≤82785,18790,安正（重庆）医院有限公司,2017年3月31日,18790,挂牌
九龙坡区西彭组团O分区O39-2/02号宗地,二类居住用地,35385,≤77847,9927,重庆市诚投房地产开发有限公司,2017年3月31日,9927,挂牌
九龙坡区大杨石组团N分区N02-4-1/03、N02-4-2/03、N03-2/08、N03-3/06、N04-2/04、 N05-9/04、N05-1/05号宗地,二类居住用地,127982,≤473594,213118,重庆旭鹏房地产开发有限公司、重庆同原房地产开发有限,2017年4月7日,392000,拍卖
巴南区D分区D6-1-1/04号宗地,二类居住用地,6859,≤9603,2347,重庆华宇集团有限公司,2017年4月7日,3600,拍卖
两江新区悦来组团C标准分区C11-2/05号宗地,一类居住用地,66604,≤66605（建筑面积）,46624,北京首钢房地产开发有限公司,2017年4月1日,78000,拍卖
北碚区蔡家组团L分区L11/04号宗地,商业用地、商务用地、其它服务设施用地,20981,62943,11741,重庆市诚投房地产开发有限公司,2017年3月30日,11741,挂牌
渝北区两路组团A分区A062-1/03号宗地,二类居住用地,45575,156000,39000,上海新城万嘉房地产有限公司,2017年4月1日,84400,拍卖
巴南区李家沱组团G分区G3-1-2/03、G7-3-2/03号宗地,娱乐康体用地,41895,33516,11283,重庆汇景实业有限公司,2017年3月30日,11283,挂牌
两江新区鱼嘴组团B分区B14-1/01号宗地,二类工业用地,3322,≥1.0,175,重庆攀富商贸有限公司,2017年3月28日,175,挂牌
