土地位置,用途,土地面积(平方米),建筑规模(平方米)/容积率,起始价(万元),竞得单位,竞得时间,成交价(万元),出让方式
沙坪坝区西永组团M标准分区M2-3/03、M9/03、M5-1/03号宗地,二类居住用地、商业用地,112817,≤160606,29569,重庆西永微电子产业园区开发有限公司,2015年8月31日,29569,挂牌
沙坪坝区西永组团M标准分区M3-1/03、M6-1/03、M8-1/03号宗地,二类居住用地、商业用地,135413,≤342246,43796,重庆西永微电子产业园区开发有限公司,2015年8月31日,43796,挂牌
沙坪坝区西永组团R标准分区R39-3/04号宗地,商业用地,18616,≤22339,4394,重庆西永微电子产业园区开发有限公司,2015年8月31日,4394,挂牌
沙坪坝区西永组团M标准分区M10-2/03（部分）、M11-5/03、M12-1/03、M13-2/03、M14-6/03（部分）号宗地,二类居住用地、商业用地,112879,≤271570,36688,重庆西永微电子产业园区开发有限公司,2015年8月31日,36688,挂牌
沙坪坝区西永组团I标准分区I77-01/02、I79-01/02号宗地,物流仓储用地,172513,≤2,11351,重庆公路运输集团集装箱联运有限公司,2015年8月31日,11351,挂牌
巴南区木洞-麻柳组团C分区C9-1/03、C10-1/03、C11-1/03号宗地,二类工业用地,156782,≥1.0,5333,重庆尚盟宏远实业有限公司,2015年8月24日,5333,挂牌
九龙坡区西永组团C分区C11-3-1/02号（部分2）宗地,一类工业用地,7264,≥1.0,546,重庆美欧特机电制造有限公司,2015年8月24日,546,挂牌
南岸区茶园组团M分区M10-1/03（部分一）号宗地,物流仓储用地,28826,≤1.5,1817,重庆市原尚物流有限公司,2015年9月28日,1817,挂牌
南岸区茶园组团M分区M9-1/03号宗地,物流仓储用地,160931,≤2.0,10139,重庆南普仓储有限公司,2015年9月28日,10139,挂牌
南岸区茶园组团M分区M27-1/02号宗地,物流仓储用地,43930,≤1.5,2768,重庆城园置地有限公司,2015年9月28日,2768,挂牌
南岸区茶园组团M分区M22-1/02号宗地,物流仓储用地,117328,≤1.5,7392,重庆宏声天娇包装产业有限公司,2015年9月28日,7392,挂牌
大渡口区大渡口组团K分区K17号宗地,二类工业用地,22254,≥0.7,1714,重庆长征重工有限责任公司,2015年9月22日,1714,挂牌
南岸区茶园组团J分区J20-2/01号宗地,二类工业用地,12312,≥0.7,999,重庆渝海食品有限公司,2015年9月22日,999,挂牌
两江新区龙兴组团A标准分区A18-1/01（部分一）号宗地,二类工业用地,129468,≥0.7,3265,重庆现代摩比斯汽车零部件有限公司,2015年9月22日,3265,挂牌
两江新区龙兴组团A标准分区A18-1/01（部分二）号宗地,二类工业用地,33075,≥0.7,834,北汽岱摩斯汽车系统（重庆）有限公司,2015年9月22日,834,挂牌
两江新区水土组团A标准分区A51-1/01（部分六）号宗地,一类工业用地,37028,≥0.7,1489,重庆远大智诚印务有限公司,2015年9月22日,1489,挂牌
巴南区界石组团S标准分区S17/01号宗地,二类工业用地,131937,≥1.0,10953,重庆盈金园实业发展有限公司,2015年9月22日,10953,挂牌
巴南区木洞-麻柳组团A分区A12-5/01号宗地,供热用地,48496,按规划要求,1748,攀钢集团重庆钛业有限公司,2015年9月22日,1748,挂牌
渝北区两路组团A分区A013-1-2/02号宗地,加油站用地,3113,按规划要求,1837,重庆市渝北区惠明物资有限公司,2015年9月11日,1837,挂牌
巴南区界石组团S分区S26-1/02号宗地,二类工业用地,213135,≥0.6,8954,蓝月亮(重庆)有限公司,2015年9月11日,8954,挂牌
巴南区木洞麻柳功能区组团C分区C25-2/01号宗地,一类工业用地,21235,≥1.0,1469,重庆斯努特啤酒有限责任公司,2015年9月11日,1469,挂牌
巴南区南彭功能区组团A分区A41-1/01号宗地,物流仓储用地,137029,≤1.5,6991,重庆公运东盟国际物流有限公司,2015年9月11日,6991,挂牌
九龙坡区西永组团Ab分区Ab7-5/02号（部分2）宗地,一类物流仓储用地,16072,≤2.0,1302,重庆市车国物流有限公司,2015年9月8日,1302,挂牌
巴南区南彭功能区组团A分区A25-1/01号宗地,二类工业用地,65746,≥0.7,3027,重庆能投物流有限公司,2015年9月8日,3027,挂牌
九龙坡区西彭组团A分区A44-1/02号宗地,二类居住用地,54109,≤135273,14772,重庆市诚投房地产开发有限公司,2015年8月31日,14772,挂牌
九龙坡区西彭组团A分区A46-1/02号宗地,二类居住用地,32060,≤54502,5996,重庆市诚投房地产开发有限公司,2015年8月31日,5996,挂牌
九龙坡区西彭组团F分区F38-1/01、F37-7/02号宗地,批发市场用地,82801,≤124202,9944,重庆市纲谐实业股份有限公司,2015年8月31日,9944,挂牌
九龙坡区西彭组团D分区D76-2/01、D76-1/01号宗地,二类工业用地,86814,≥0.7,5036,重庆东鹏维他命饮料有限公司,2015年8月24日,5036,挂牌
九龙坡区西彭组团D分区D40-1/01号宗地,一类工业用地,20016,≥0.7,1203,重庆泓翔环保科技有限公司,2015年8月24日,1203,挂牌
九龙坡区西彭组团D分区D37-1/02号宗地,一类工业用地,19982,≥0.7,1181,重庆太岳新材料科技有限公司,2015年8月24日,1181,挂牌
两江新区两路组团K标准分区K09-1/02号宗地,一类工业用地兼容一类物流仓储用地,40750,≥0.7,3179,重庆金弓集团动力有限公司,2015年8月24日,3179,挂牌
两江新区水土组团A标准分区A48-4/01（部分三）号宗地,一类工业用地,18603,≥1.0,469,重庆高一智光电有限公司,2015年8月24日,469,挂牌
两江新区水土组团B标准分区B21-1/01号宗地,一类工业用地,22215,≥0.7,560,重庆川宜机电设备有限公司,2015年8月24日,560,挂牌
两江新区龙兴组团B标准分区B10-1/01号宗地,二类工业用地,26453,≥0.7,667,凯菲克汽车系统(重庆)有限公司,2015年8月24日,667,挂牌
两江新区龙兴组团B标准分区B1-1/01（部分四）号宗地,二类工业用地,36469,≥0.7,920,重庆鼎顺隆能源技术有限责任公司,2015年8月24日,920,挂牌
大渡口区大渡口组团N标准分区N09-1（部分）号宗地,商务用地,8068,≤12102,1461,中冶建工集团有限公司,2015年8月24日,1461,挂牌
南岸区茶园组团A分区A88/03号宗地,B1B2-商业用地、商务用地,24449,≤85572,18826,重庆市诚投房地产开发有限公司,2015年8月24日,18826,挂牌
两江新区水土组团B标准分区B40-1/01号宗地,一类工业用地,14053,≥0.7,355,重庆润生科技有限公司,2015年8月11日,355,挂牌
两江新区龙兴组团B标准分区B9-3/02号宗地,二类工业用地,65818,≥0.7,2291,重庆达创机电设备有限公司,2015年8月11日,2291,挂牌
南岸区茶园组团M分区M6-1（部分二）宗地,物流仓储用地,37804,≤2.0,2416,重庆恒祥实业有限公司,2015年8月11日,2416,挂牌
南岸区茶园组团M分区M6-1（部分一）宗地,物流仓储用地,41408,≤2.0,2651,重庆富沃思医疗器械有限公司,2015年8月11日,2651,挂牌
巴南区李家沱组团G分区G2-1/03号宗地,娱乐康体用地、商业用地,18776,≤28164,6347,重庆市城投房地产开发有限公司,2015年8月3日,6347,挂牌
九龙坡区西彭组团O分区O47-2/01、O48/01号宗地,二类居住用地,198837,≤357907,38973,重庆市城投房地产开发有限公司,2015年8月3日,38973,挂牌
巴南区李家沱组团P分区P04-03/04号宗地,物流仓储用地,28243,≤2.0,4697,重庆宝钢钢材加工配送有限公司,2015年8月3日,4697,挂牌
巴南区南彭功能区组团A分区A17-1/01号宗地,二类工业用地,7747,≥0.7,346,重庆中集瑞鹏物流有限公司,2015年8月3日,346,挂牌
九龙坡区西永组团O分区O18-2-2/02号（部分2）宗地,一类工业用地,60976,≥0.7,4574,重庆高新区开发投资集团有限公司,2015年7月28日,4574,挂牌
北碚区蔡家组团N标准分区N17-2/03号、N18-3/03号宗地,商业用地、一类居住用地,152579,≤159533,58362,重庆上善置地有限公司,2015年8月14日,58362,挂牌
北碚区蔡家组团N标准分区N16/03号、N19-3/03号宗地,二类居住用地、一类居住用地,144788,≤211192,58639,重庆上善置地有限公司,2015年8月14日,58639,挂牌
九龙坡区大杨石组团G分区G08-3/03、G12-1/02、G12-4/02号宗地,商业用地、商务用地、二类居住用地,74884,≤213097,66700,轩鹏有限公司,2015年8月14日,66700,挂牌
大渡口区大渡口组团P分区P2-15-3号宗地,加油加气站用地,3190,按规划要求,1675,中国石油天然气股份有限公司,2015年8月14日,1675,挂牌
两江新区北部新区组团B标准分区B7-4/02号宗地,城市轨道交通用地、商业用地、商务用地,11250,≤45016,13737,重庆怡置北部房地产开发有限公司,2015年8月14日,13737,挂牌
沙坪坝区西永组团S标准分区S10-2/02号宗地,二类工业用地,124343,≥0.7,5285,中机高科地质装备有限公司,2015年8月14日,5285,挂牌
九龙坡区西永组团Y分区Y07-3/01号宗地,一类工业用地,31757,≥0.7,2382,重庆燕牌电线电缆有限公司,2015年8月14日,2382,挂牌
九龙坡区西永组团Y分区Y03-5-2/02号宗地,一类工业用地,110555,≥0.7,28602,重庆高新区开发投资集团有限公司,2015年8月14日,28602,挂牌
两江新区龙兴组团B分区B7-1/01号（部分三）宗地,二类工业用地,36000,≥0.7,1354,重庆桂诺光电科技有限公司,2015年7月28日,1354,挂牌
两江新区水土组团A标准分区A09-2/01号宗地,U9-其它公用设施用地,5208,——,344,重庆华清能源有限公司,2015年8月11日,344,挂牌
两江新区水土组团A标准分区A02-1/01号宗地,二类工业用地,113516,≥0.7,4575,重庆华邦制药有限公司,2015年8月11日,4575,挂牌
两江新区鱼嘴组团Q分区Q5-3/01(部分二)号宗地,二类工业用地,82433,≥0.7,2144,重庆科尔本施密特活塞有限公司,2015年7月6日,2144,挂牌
两江新区鱼嘴组团C标准分区C10-2/02号宗地,二类工业用地,84237,≥0.7,2149,华域大陆汽车制动系统（重庆）有限公司,2015年7月6日,2149,挂牌
南岸区茶园-鹿角组团A分区A17-2/05、A12-1/03、A13-1/05、A19-6/05、A16/04、A11-1/03、A20-1/03、A20-3/03、A22-1/04、A23-2/05、A19-2/04号宗地,商业用地、商务用地、二类居住用地,380962,≤1442522,370152,北京金隅大成开发有限公司,2015年6月30日,370152,挂牌
沙坪坝区西永组团L标准分区L63/04号宗地,二类居住用地,192097,≤480243,58974,重庆西谷资产管理有限公司,2015年6月29日,58974,挂牌
沙坪坝区西永组团L标准分区L57-1/04、L57-2/04号宗地,二类居住用地，商业用地、商务用地,63847,≤161555,22092,重庆西永微电子产业园区开发有限公司,2015年6月29日,22092,挂牌
沙坪坝区西永组团L标准分区L58/03号宗地,二类居住用地、商业用地、商务用地,35799,≤89498,13532,重庆西永微电子产业园区开发有限公司,2015年6月29日,13532,挂牌
沙坪坝区西永组团L标准分区L01-1/03号宗地,二类居住用地,81151,≤186647,28403,重庆西永微电子产业园区开发有限公司,2015年6月29日,28403,挂牌
沙坪坝区西永组团L标准分区L59-1/03、L59-2/04号宗地,商业用地、商务用地，二类居住用地,65866,≤164665,26368,重庆西永微电子产业园区开发有限公司,2015年6月29日,26368,挂牌
北部新区大竹林组团O标准分区O8-04-1/02、O8-04-2/02、O8-06/02、O8-07/02号宗地,二类居住用地,133574,≤240433,84900,旭瑩（香港）有限公司、旭尚（香港）有限公司、重庆东,2015年6月29日,84900,拍卖
北部新区大竹林组团O标准分区O8-01-1/03、O8-01-4/03、O8-02/02、O8-03-1/02号宗地,二类居住用地、商业用地、商务用地,192045,≤395306,121100,旭瑩（香港）有限公司、旭尚（香港）有限公司、重庆东,2015年6月29日,148000,拍卖
北部新区大竹林组团O标准分区O02-2、O02-5、O20-2号宗地,一类居住用地、二类居住用地,189180,≤281870,103419,嘉遜發展香港（控股）有限公司、嘉遜置地有限公司,2015年7月14日,118000,拍卖
北部新区大竹林组团O标准分区O20-6、O20-7、O20-8、O20-9号宗地,二类居住用地,120953,≤362859,108979,重庆市金科实业集团、弘景房地产开发有限公司,2015年7月14日,108979,拍卖
北部新区大竹林组团O标准分区O23-1、O23-5、O23-10、O23-11、O28-10、O28-11、O28-12、O35-4号宗地,二类居住用地、商业用地,155277,≤390377,134201,重庆市金科实业集团、弘景房地产开发有限公司,2015年7月14日,134201,挂牌
两江新区鱼嘴组团Q分区Q5-3/01(部分一)号宗地,二类工业用地,114079,≥0.7,2932,重庆延锋江森汽车部件系统有限公司,2015年7月10日,2932,挂牌
巴南区木洞-麻柳组团C分区C8-1/02、C12-1/02号宗地,二类工业用地,166436,≥0.7,11763,重庆广泽安全产业发展有限公司,2015年7月10日,11763,挂牌
巴南区木洞-麻柳组团C分区C5-1/01、C6-1/01、C7-1/01号宗地,二类工业用地,79363,≥1.0,3687,重庆拓为建设投资有限公司,2015年7月10日,3687,挂牌
巴南区木洞-麻柳功能区组团C分区C6-1/01号宗地,二类工业用地,12259,≥1.0,413,重庆拓为建设投资有限公司,2015年7月10日,413,挂牌
巴南区木洞-麻柳组团C分区C33-2/03号宗地,二类工业用地,213140,≥0.8,8264,重庆百亚卫生用品有限公司,2015年7月10日,8264,挂牌
九龙坡区西永组团E分区E06-1/02号宗地,一类工业用地,15278,≥0.7,1146,重庆科中建材有限公司,2015年7月10日,1146,挂牌
两江新区鱼嘴组团F标准分区F08-4/02(部分二)号宗地,二类工业用地,60136,≥0.7,1546,鞍钢重庆高强汽车钢有限公司,2015年7月6日,1546,挂牌
两江新区龙兴组团B标准分区B7-1/01（部分二）号宗地,二类工业用地,42388,≥0.7,1103,重庆彼欧英瑞杰汽车系统有限公司,2015年7月28日,1103,挂牌
两江新区龙兴组团B标准分区B7-1/01（部分一）号宗地,二类工业用地,52750,≥0.7,1330,浦项(重庆)汽车配件制造有限公司,2015年7月28日,1330,挂牌
两江新区龙兴组团B标准分区B8-1/01号宗地,二类工业用地,38712,≥0.7,1626,重庆八菱龙兴汽车配件有限责任公司,2015年7月28日,1626,挂牌
两江新区龙兴组团A标准分区A4-1/01号宗地,二类工业用地,112216,≥0.7,2828,重庆现代海斯克钢材有限公司,2015年7月28日,2828,挂牌
沙坪坝区西永组团W标准分区Ｗ56－1/03、Ｗ56－2/03号宗地,一类工业用地,167034,≥1.0,6515,重庆西永微电子产业园区开发有限公司,2015年7月28日,6515,挂牌
沙坪坝区西永组团W标准分区Ｗ50－1/02（部分）号宗地,一类工业用地,59818,≥1.0,2333,重庆西永微电子产业园区开发有限公司,2015年7月28日,2333,挂牌
九龙坡区二郎科技新城组团A分区A6-1-4/03、A6-1-3/03号宗地,商业用地、商务用地,34836,≤132377,33756,中航里城有限公司,2015年7月20日,33756,挂牌
巴南区界石组团M分区M09/02、M10-2/02号宗地,中小学用地,50506,按规划要求,4053,重庆融创启洋置业有限公司、重庆葛洲坝融创金裕置业有,2015年7月20日,4053,挂牌
巴南区界石组团T标准分区T02/02号宗地,二类工业用地,75129,≥0.8,3715,重庆玛格家居有限公司,2015年7月20日,3715,挂牌
北部新区大竹林组团O标准分区O02-4、O03-2、O22-7、O22-8号宗地,二类居住用地,159190,≤357722,112389,嘉遜發展香港（控股）有限公司、嘉遜置地有限公司,2015年7月14日,126000,拍卖
沙坪坝区西永组团L标准分区L60-1/03号宗地,二类居住用地、商业用地、商务用地,40015,≤100038,15006,重庆西谷资产管理有限公司,2015年6月25日,15006,挂牌
九龙坡区中梁山组团I分区I05-1/03号宗地,二类工业用地,61422,≥0.7,7383,重庆壹本置业有限公司,2015年6月25日,7383,挂牌
沙坪坝区西永组团W标准分区W52－3／02、W53－1／02号宗地,一类工业用地,56065,≥1.0,2187,重庆西永服务贸易发展有限公司,2015年6月25日,2187,挂牌
九龙坡区大杨石组团K分区K22-1/03号宗地,商业用地、商务用地,6195,≤30975,15178,鹏润置业有限公司,2015年6月19日,15178,挂牌
九龙坡区中梁山组团J分区J05-13/03、J05-15/03、J05-20/02、J05-22/02号宗地,二类居住用地、商业用地、商务用地,62014,≤192750.3,48486,重庆观江置业发展有限公司,2015年6月19日,48486,挂牌
沙坪坝区双碑组团E分区E38-7-1/04、E55-1/04、E55-5/04、沙坪坝组团A分区沙A02-02/05号宗地,商业用地、商务用地、二类居住用地,95974,≤376179,109092,重庆融创基业房地产开发有限公司、重庆华美地产发展有,2015年6月19日,132500,拍卖
两江新区龙兴组团A分区A5-5/01号宗地,二类工业用地,129999,≥1.0,5226,重庆华辰物业发展有限公司、重庆华辰两江实业有限公司,2015年6月19日,5226,挂牌
两江新区鱼嘴组团Q分区Q6-6/01(部分)宗地,二类工业用地,7515,≥1.0,191,重庆楚商投资发展有限公司,2015年6月19日,191,挂牌
九龙坡区中梁山组团I标准分区I04-2/04号(部分1)宗地,二类工业用地,13015,≥0.7,1522,重庆科库商贸有限公司,2015年6月19日,1522,挂牌
九龙坡区西永组团Ad分区Ad05-6-2/02号宗地,一类工业用地,22802,≥1.0,1711,重庆市协隆机床展销有限公司,2015年6月19日,1711,挂牌
沙坪坝区西永组团L标准分区L61-1/04号宗地,二类居住用地,112008,≤201614,34051,重庆西谷资产管理有限公司,2015年6月26日,34051,挂牌
沙坪坝区西永组团L标准分区L01-3/03号宗地,二类居住用地,74278,≤148556,22432,重庆西谷资产管理有限公司,2015年6月26日,22432,挂牌
沙坪坝区西永组团L标准分区L22-1/03号宗地,二类居住用地,65581,≤131162,19806,重庆西谷资产管理有限公司,2015年6月26日,19806,挂牌
沙坪坝区西永组团L标准分区L66/04、L52/04、L53/04号宗地,二类居住用地、商业用地、商务用地,138077,≤340313,47894,重庆西谷资产管理有限公司,2015年6月26日,47894,挂牌
九龙坡区大杨石组团Q分区QF6-3-1/06、QF6-1/03号宗地,二类居住用地,39936,≤125494,35766,重庆联金盛置业有限公司,2015年6月26日,35766,挂牌
大渡口区大渡口组团N分区N05-1号宗地,商务用地,29789,≤44685,5363,重庆佛光伟业实业有限公司,2015年6月26日,5363,挂牌
沙坪坝区西永综合保税区A区组团N分区N4－6／01号宗地,一类工业用地,37308,≥1.0,1456,重庆西永服务贸易发展有限公司,2015年6月26日,1456,挂牌
九龙坡区二郎科技新城组团L分区L10-2/02号宗地,二类居住用地、商业用地、商务用地、防护绿地,11851,≤41478.5,13066,周薇苹、邓绍泉,2015年6月25日,13066,挂牌
巴南区南彭功能区（南彭物流基地部分）组团A分区A7-1/02号宗地,商业服务业设施用地,200599,≤401198,34514,重庆华南城有限公司,2015年6月25日,34514,挂牌
北碚区蔡家组团F标准分区F06-1/02号宗地,商业用地、商务用地,50962,≤127405,14270,渝商投资集团股份有限公司,2015年6月25日,14270,挂牌
九龙坡区西永组团C分区C11-3-1/02（部分1）号宗地,一类工业用地,16667,≥1.0,1251,重庆英格造粒包衣技术有限公司,2015年6月19日,1251,挂牌
九龙坡区西永组团C分区C11-10-1/02（部分1）号宗地,一类工业用地,14666,≥1.0,1115,重庆新锒田科技有限公司,2015年6月19日,1115,挂牌
九龙坡区西永组团C分区11-16-1/02号宗地,一类工业用地,4469,≥1.0,331,重庆乐成基业科技有限公司,2015年6月19日,331,挂牌
北碚区北碚组团A标准分区A72-4/03号宗地,二类居住用地,30844,56199,8711,上海实业发展股份有限公司,2015年6月17日,8711,挂牌
渝北区两路组团E标准分区E85-1号宗地,商业用地、商务用地、二类居住用地,42598,≤170392,65090,重庆诗城置业有限公司,2015年6月17日,65090,挂牌
九龙坡区大杨石组团R分区R11-1-3/04号宗地,二类居住用地,6290,≤25160,6542,上海瑞佑投资有限公司、上海佳赫投资有限公司,2015年6月17日,10400,拍卖
南岸区茶园组团D分区D23-3/04号宗地,一类工业用地,172054,≥1.0,12218,维沃移动通信（重庆）有限公司,2015年6月17日,12218,挂牌
南岸区茶园组团M分区M3-1/01号宗地,物流仓储用地,43965,≤2.0,2904,重庆市经济技术开发区法斯特保税仓有限公司,2015年6月17日,2904,挂牌
南岸区南坪组团K分区K3-10-2/03、K3-10-4/03、K3-10-6/03、K3-10-7/03号宗地,B1B2-商业用地、商务用地,171347,≤205831,65969,重庆豪德财富商业地产开发有限公司,2015年6月10日,65969,挂牌
南岸区茶园-鹿角组团A分区A62-4/05号宗地,B1-商业用地,10507,≤15025,3757,重庆市城投公租房建设有限公司,2015年6月10日,3757,挂牌
渝北区两路组团F标准分区F107-1号宗地,商业用地、商务用地,18823,≤65881,22739,重庆市空港新城建设投资（集团）有限公司,2015年6月10日,22739,挂牌
沙坪坝区双碑组团B分区13-4/03号宗地,二类工业用地,55631,≥0.7,2170,重庆泰源电力设备有限公司,2015年6月10日,2170,挂牌
两江新区两路组团K标准分区K03-2/02、Ｋ04-1/02号宗地,一类工业用地兼容一类仓储用地,261047,≤2.0,16394,重庆安美仓储有限公司,2015年6月10日,16394,挂牌
沙坪坝区西永组团L标准分区L39-7/03、L21-1/03号宗地,二类居住用地,70658,≤120106,20943,重庆西谷资产管理有限公司,2015年6月1日,20943,挂牌
沙坪坝区西永组团L标准分区L39-6/03号宗地,二类居住用地,21751,≤26101,4024,重庆西谷资产管理有限公司,2015年6月1日,4024,挂牌
沙坪坝区西永组团L标准分区L55/04号宗地,二类居住用地,57189,≤142973,19159,重庆西永服务贸易发展有限公司,2015年6月1日,19159,挂牌
沙坪坝区西永组团L标准分区L62-1/03号宗地,二类居住用地,45013,≤90026,10624,重庆西永服务贸易发展有限公司,2015年6月1日,10624,挂牌
沙坪坝区西永组团L标准分区L64/04号宗地,二类居住用地,52887,≤132218,18035,重庆西谷资产管理有限公司,2015年6月1日,18035,挂牌
沙坪坝区西永组团L标准分区L49/04号宗地,二类居住用地,43660,≤78588,11177,重庆西永服务贸易发展有限公司,2015年6月1日,11177,挂牌
沙坪坝区西永组团L标准分区L50/04号宗地,二类居住用地,52967,≤132418,17480,重庆西永服务贸易发展有限公司,2015年6月1日,17480,挂牌
沙坪坝区西永组团W标准分区W45-4/02、W49-5/02号宗地,商业用地、商务用地、二类居住用地,27252,≤54504,7631,重庆西永服务贸易发展有限公司,2015年5月20日,7631,挂牌
沙坪坝区西永组团W标准分区W58-3/02号宗地,商业用地、商务用地,14174,≤28348,3983,重庆西永服务贸易发展有限公司,2015年5月20日,3983,挂牌
沙坪坝区西永组团W标准分区W58-1/02、W58-6/02、W58-7/02号宗地,其他商务用地,95785,≤191570,26916,重庆西永服务贸易发展有限公司,2015年5月20日,26916,挂牌
沙坪坝区西永组团W标准分区W57-1/02（部分）、W57-3/02（部分）号宗地,其他商务用地,93432,≤186864,26255,重庆西永服务贸易发展有限公司,2015年5月20日,26255,挂牌
两江新区水土组团B标准分区B40-2/01号宗地,B29-其它商务用地（生产性服务业用地）,57033,≤102659,6907,重庆中科国扬智能技术有限公司,2015年5月20日,6907,挂牌
沙坪坝区西永综合保税区A区组团N标准分区N3－1／01（部分）号宗地,一类工业用地,219201,≥1.0,8549,重庆西永服务贸易发展有限公司,2015年5月20日,8549,挂牌
沙坪坝区西永综合保税区A区组团N分区N4－7／01号宗地,一类工业用地,22066,≥1.0,861,重庆西永服务贸易发展有限公司,2015年5月20日,861,挂牌
沙坪坝区西永综合保税区B区组团V分区V8－4／01号宗地,一类工业用地,412140,≥1.0,16074,重庆西永服务贸易发展有限公司,2015年5月20日,16074,挂牌
沙坪坝区西永组团W标准分区W59－1／02号宗地,一类工业用地,188937,≥1.0,7369,重庆西永服务贸易发展有限公司,2015年5月20日,7369,挂牌
沙坪坝区西永组团W标准分区W60－1／02号宗地,一类工业用地,142626,≥1.0,5563,重庆西永服务贸易发展有限公司,2015年5月20日,5563,挂牌
沙坪坝区西永组团L标准分区L45/03号宗地,二类居住用地、商业用地、商务用地,46846,≤117115,15413,重庆西谷资产管理有限公司,2015年6月1日,15413,挂牌
沙坪坝区西永组团V标准分区V16-4/02号宗地,商业用地、商务用地,59578,≤208523,31905,重庆西永服务贸易发展有限公司,2015年5月29日,31905,挂牌
沙坪坝区西永组团V标准分区V18-2/02、V16-6/02、V16-2/02号宗地,商业用地、商务用地、二类居住用地,111393,≤179517,36546,重庆西永服务贸易发展有限公司,2015年5月29日,36546,挂牌
沙坪坝区西永组团L标准分区L43/03号宗地,二类居住用地、商业用地、商务用地,35324,≤88310,13212,重庆西谷资产管理有限公司,2015年5月29日12：00时,13212,挂牌
沙坪坝区西永组团L标准分区L44-2/03、L42/03号宗地,二类居住用地、商业用地、商务用地,47681,≤119203,15850,重庆西谷资产管理有限公司,2015年5月29日12：00时,15850,挂牌
沙坪坝区西永组团L标准分区L54/04号宗地,二类居住用地,36586,≤91465,11928,重庆西谷资产管理有限公司,2015年5月29日,11928,挂牌
沙坪坝区西永组团L标准分区L60-2/03号宗地,二类居住用地,43975,≤109938,14732,重庆西永服务贸易发展有限公司,2015年5月29日,14732,挂牌
九龙坡区西永组团Z分区Z9-2/03号宗地,一类工业用地,11585,≥0.7,1156,重庆九龙制罐厂,2015年5月29日,1156,挂牌
巴南区李家沱组团P分区P04-04/04号宗地,W-物流仓储用地,20865,≤2.0,2928,重庆劲力高级润滑油有限公司,2015年5月29日,2928,挂牌
北部新区鸳鸯组团O标准分区O38-1/02(部分)宗地,R22-服务设施用地,3326,≤4989,905,重庆北恒投资发展有限公司,2015年5月25日,905,挂牌
沙坪坝区西永组团R标准分区R46/03号宗地,一类工业用地,31063,≥1.0,1212,重庆西永服务贸易发展有限公司,2015年5月20日,1212,挂牌
沙坪坝区西永组团W标准分区W42－3／02（部分）、W43－1／02（部分）号宗地,一类工业用地,184226,≥1.0,7185,重庆西永服务贸易发展有限公司,2015年5月20日,7185,挂牌
两江新区鱼嘴组团C标准分区C5-1/01号宗地,二类工业用地,7175,≥0.7,237,重庆美捷汽车配件有限公司,2015年5月20日,237,挂牌
两江新区鱼嘴组团B标准分区B10-1/01号宗地,二类工业用地,48903,≥0.7,1243,重庆北格电器有限公司,2015年5月20日,1243,挂牌
两江新区鱼嘴组团C分区C6-4/01(部分二)号宗地,二类工业用地,5334,≥0.7,139,重庆天得力投资有限公司,2015年5月20日,139,挂牌
沙坪坝区西永组团V标准分区V15-1/02号宗地,商业用地、商务用地,20760,≤33216,6395,重庆西永服务贸易发展有限公司,2015年5月19日,6395,挂牌
沙坪坝区沙坪坝组团M分区M19-5-2/05号宗地（部分一）,商业用地、商务用地,5803,≤11606,2206,重庆迈瑞城市建设投资有限责任公司,2015年5月19日,2206,挂牌
沙坪坝区沙坪坝组团M分区M19-5-2/05号宗地（部分二）,商业用地、商务用地,10544,≤21088,4007,重庆迈瑞城市建设投资有限责任公司,2015年5月19日,4007,挂牌
沙坪坝区西永组团W标准分区Ｗ54－1/02号宗地,一类工业用地,155041,≥1.0,6047,重庆西永服务贸易发展有限公司,2015年5月19日,6047,挂牌
沙坪坝区西永组团V标准分区V19-3/01号宗地,物流仓储用地,27820,≤2,1085,重庆西永服务贸易发展有限公司,2015年5月19日,1085,挂牌
沙坪坝区西永组团R标准分区R11/04号宗地,一类工业用地,24103,≥1.0,941,重庆西永服务贸易发展有限公司,2015年5月19日,941,挂牌
两江新区龙兴组团L标准分区L3-1/01号宗地,二类工业用地,25143,≥0.7,755,重庆霍富汽车部件有限公司,2015年5月15日,755,挂牌
两江新区龙兴组团A标准分区A18-1/01号宗地,二类工业用地,1871962,≥0.7,47174,北京现代汽车有限公司,2015年5月15日,47174,挂牌
两江新区水土组团D标准分区D08-2/01号宗地,一类工业用地,99292,≥0.7,2542,重庆鑫景特种玻璃有限公司,2015年5月15日,2542,挂牌
九龙坡区西彭组团D分区D28-2/03号宗地,一类工业用地,45230,≥1.0,2725,重庆市百可实业有限公司,2015年5月15日,2725,挂牌
巴南区南彭功能组团A分区A18-2/02号宗地,一类、二类工业用地,6564,≥1.0,512,重庆辰岭实业有限公司,2015年5月15日,512,挂牌
沙坪坝区西永组团W标准分区Ｗ51－1/02号宗地,一类工业用地,125248,≥1.0,4885,重庆西永服务贸易发展有限公司,2015年5月11日,4885,挂牌
沙坪坝区西永组团W标准分区Ｗ47－1／02号宗地,一类工业用地,99442,≥1.0,3879,重庆西永服务贸易发展有限公司,2015年5月11日,3879,挂牌
南岸区茶园组团I分区I20-1/03号宗地,一类工业用地,26998,≥1.0,2738,重庆市茶园工业园区建设开发有限责任公司,2015年5月5日,2738,挂牌
